discard_total_rate_15m,discard_total_rate_5m,discard_total_rate_behavior_5m_change,error_total_rate_15m,error_total_rate_5m,error_total_rate_behavior_5m_change,in_bps_15m_mean,in_bps_5m_mean,in_bps_behavior_5m_change,in_discard_rate_15m_mean,in_discard_rate_5m_mean,in_error_rate_15m_mean,in_error_rate_5m_mean,oper_status_last,out_bps_15m_mean,out_bps_5m_mean,out_bps_behavior_5m_change,out_discard_rate_15m_mean,out_discard_rate_5m_mean,out_error_rate_15m_mean,out_error_rate_5m_mean,traffic_total_bps_15m,traffic_total_bps_5m,traffic_total_bps_behavior_5m_change,traffic_variability_5m
-0.129434936567,-0.0960002533122,-0.0226313839213,0,0,0,-0.202102845242,-0.202659265095,0.0295363170143,-0.0520290368181,-0.0399003197374,0,0,-0.579705356043,-0.210005032172,-0.210109940431,0.0317748737881,-0.126450991038,-0.0933227045776,0,0,-0.23069983135,-0.230915990415,0.0363116784814,-0.198352553328
-0.129434936567,-0.0960002533122,-0.0226313839213,0,0,0,-0.202094688702,-0.202650452612,0.0295384336409,-0.0520290368181,-0.0399003197374,0,0,-0.579705356043,-0.209989125575,-0.210093884754,0.0317705298586,-0.126450991038,-0.0933227045776,0,0,-0.230686376115,-0.230902086419,0.0363104086705,-0.198352553328
-0.129434936567,-0.0960002533122,-0.0226313839213,0,0,0,-0.202103897699,-0.202659815875,0.0295405502675,-0.0520290368181,-0.0399003197374,0,0,-0.579705356043,-0.210005297282,-0.210110494075,0.0317727018233,-0.126450991038,-0.0933227045776,0,0,-0.230700570649,-0.230916608371,0.0363129482924,-0.198352553328
-0.129434936567,-0.0960002533122,-0.0226313839213,0,0,0,-0.200756226712,-0.201291127049,0.0292188230309,-0.0520290368181,-0.0399003197374,0,0,-0.579705356043,-0.193816358415,-0.193537160279,0.0291772039286,-0.126450991038,-0.0933227045776,0,0,-0.22091417915,-0.220899551247,0.0346025129927,-0.198352553328
-0.129434936567,-0.0960002533122,-0.0226313839213,0,0,0,-0.202089689532,-0.202642741689,0.0295574832799,-0.0520290368181,-0.0399003197374,0,0,-0.579705356043,-0.210005827502,-0.210110494075,0.0317770457529,-0.126450991038,-0.0933227045776,0,0,-0.230692881943,-0.230907030062,0.0363256464015,-0.198352553328
-0.129434936567,-0.0960002533122,-0.0226313839213,0,0,0,-0.186272578762,-0.194432261071,-0.0345784180008,-0.0520290368181,-0.0399003197374,0,0,-0.579705356043,-0.0604040197366,-0.0535139434092,0.0348025926712,-0.126450991038,-0.0933227045776,0,0,-0.138366905028,-0.13890768315,-0.000382047468734,-0.198352553328
-0.129434936567,-0.0960002533122,-0.0226313839213,0,0,0,-0.202056800255,-0.202611347217,0.0295342003878,-0.0520290368181,-0.0399003197374,0,0,-0.579705356043,-0.210007683271,-0.210112708651,0.0317748737881,-0.126450991038,-0.0933227045776,0,0,-0.230675434496,-0.230890654244,0.0363104086705,-0.198352553328
1.48880801532,1.8636401966,-0.0226313839213,0,0,0,0.955886212702,0.755325975998,-1.92292680015,-0.0520290368181,-0.0399003197374,0,0,-0.579705356043,0.112042312095,0.119094546014,-0.0236992782874,1.49484287064,1.87267104563,0,0,0.599659378,0.49021881124,-1.16744621035,-0.198352553328
1.48880801532,1.8636401966,-0.0226313839213,0,0,0,-0.070269470029,-0.0670676417762,0.0111470654937,-0.0520290368181,-0.0399003197374,0,0,-0.579705356043,-0.13803483974,-0.177217949089,-0.299782063559,1.49484287064,1.87267104563,0,0,-0.116474794413,-0.136495185247,-0.168560884017,-0.198352553328
1.48880801532,1.8636401966,-0.0226313839213,0,0,0,-0.201450585114,-0.201977399193,0.0295299671347,-0.0520290368181,-0.0399003197374,0,0,-0.579705356043,-0.197352129768,-0.196085583712,0.0381495903748,1.49484287064,1.87267104563,0,0,-0.223276386088,-0.22270676183,0.0400347640781,-0.198352553328
1.48880801532,1.8636401966,-0.0226313839213,0,0,0,-0.20203338309,-0.202583808206,0.0295574832799,-0.0520290368181,-0.0399003197374,0,0,-0.579705356043,-0.209828203838,-0.209924469684,0.0317813896824,1.49484287064,1.87267104563,0,0,-0.230562173948,-0.23077015294,0.0363281860233,-0.198352553328
1.48880801532,1.8636401966,-0.0226313839213,0,0,0,-0.202025489664,-0.202576097283,0.0295532500268,-0.0520290368181,-0.0399003197374,0,0,-0.579705356043,-0.209774651628,-0.209870212569,0.0317683578938,1.49484287064,1.87267104563,0,0,-0.230527870492,-0.230735547437,0.036318027536,-0.198352553328
-0.129434936567,-0.0960002533122,-0.0226313839213,0,0,0,0.137985164534,0.214139253936,0.497173205217,-0.0520290368181,-0.0399003197374,0,0,-0.579705356043,1.22106190398,1.15322462243,-0.99570129407,-0.126450991038,-0.0933227045776,0,0,0.75856481395,0.763750282974,-0.283843207367,-0.198352553328
-0.129434936567,-0.0960002533122,-0.0226313839213,0,0,0,0.562564935841,0.542711044741,-0.392988909396,-0.0520290368181,-0.0399003197374,0,0,-0.579705356043,0.100835054228,0.0332182681314,-0.605672893272,-0.126450991038,-0.0933227045776,0,0,0.372377839518,0.323019853072,-0.589846050591,-0.198352553328
-0.129434936567,-0.0960002533122,-0.0226313839213,0,0,0,0.307007891614,0.200669373076,-0.966061316245,-0.0520290368181,-0.0399003197374,0,0,-0.579705356043,-0.182283810645,-0.183185678001,0.0159130151057,-0.126450991038,-0.0933227045776,0,0,0.0708611091124,0.0103699503013,-0.570242709718,-0.198352553328
-0.129434936567,-0.0960002533122,-0.0226313839213,0,0,0,0.178372406516,0.179906611432,-0.090832001986,-0.0520290368181,-0.0399003197374,0,0,-0.579705356043,0.726267062986,0.656223366752,-0.841504827509,-0.126450991038,-0.0933227045776,0,0,0.505298999154,0.467179888833,-0.546451532454,-0.198352553328
-0.129434936567,-0.0960002533122,-0.0226313839213,0,0,0,0.283258150509,0.161427384547,-1.07661695453,-0.0520290368181,-0.0399003197374,0,0,-0.579705356043,1.23734098023,1.08386576029,-1.67326525035,-0.126450991038,-0.0933227045776,0,0,0.849281781357,0.695472081237,-1.62412354669,-0.198352553328
-0.129434936567,-0.0960002533122,-0.0226313839213,0,0,0,0.65840639196,0.518212891701,-1.35227793071,-0.0520290368181,-0.0399003197374,0,0,-0.579705356043,0.0487353824858,0.0320561693294,-0.187954113678,-0.126450991038,-0.0933227045776,0,0,0.397179385906,0.308628289632,-0.921130829092,-0.198352553328
